episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1609,1,18.7730,15.1806,0.191,412,1294,18,0,0.050,100,41.02,50000,496.46,3,1,32.000(40.000%)(1.286m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),47.883(47.883%)(2.987m),23.150(28.938%)(0.338m),23.000(57.500%)(1.393m),16.329(40.822%)(0.678m),561.933,2907.471
1610,1,18.1390,15.1658,0.180,488,1458,23,52,0.050,100,41.06,50000,577.02,4,1,20.458(25.572%)(0.049m),43.305(43.305%)(2.497m),60.000(60.000%)(4.286m),36.000(36.000%)(1.714m),27.000(33.750%)(0.750m),14.392(35.979%)(0.471m),20.000(50.000%)(1.071m),250.824,3722.895
1611,1,15.6505,15.1214,0.194,415,1300,0,105,0.050,100,41.09,50000,521.51,5,1,24.617(30.771%)(0.495m),46.000(46.000%)(2.786m),84.000(84.000%)(6.857m),50.000(50.000%)(3.214m),20.000(25.000%)(0.000m),17.390(43.474%)(0.792m),17.000(42.500%)(0.750m),503.474,2907.349
1612,1,16.8487,15.1117,0.188,415,1302,0,72,0.050,100,41.13,50000,523.03,6,1,24.477(30.596%)(0.480m),48.000(48.000%)(3.000m),62.000(62.000%)(4.500m),36.000(36.000%)(1.714m),24.000(30.000%)(0.429m),17.288(43.221%)(0.781m),17.000(42.500%)(0.750m),205.719,2681.687
1613,1,17.0562,15.1118,0.186,415,1302,1,82,0.050,100,41.17,50000,529.44,7,1,24.677(30.847%)(0.501m),47.000(47.000%)(2.893m),59.000(59.000%)(4.179m),35.000(35.000%)(1.607m),24.000(30.000%)(0.429m),17.434(43.584%)(0.796m),17.000(42.500%)(0.750m),204.664,2681.231
1614,1,0.0365,14.7794,0.204,144,423,1,9,0.050,60,41.14,50000,174.20,0,0,49.236(61.546%)(3.132m),96.126(96.126%)(8.156m),59.000(59.000%)(4.179m),23.000(23.000%)(0.321m),23.000(28.750%)(0.321m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3076.748
1615,1,15.3641,14.8240,0.173,417,1307,39,94,0.050,100,41.18,50000,511.95,1,1,25.451(31.813%)(0.584m),39.000(39.000%)(2.036m),50.000(50.000%)(3.214m),35.000(35.000%)(1.607m),19.000(23.750%)(0.000m),17.993(44.983%)(0.856m),14.000(35.000%)(0.429m),180.177,2594.993
1616,1,1.4805,14.4811,0.196,202,611,14,38,0.050,75,41.15,50000,250.42,0,0,12.422(15.528%)(0.000m),25.682(25.682%)(0.609m),76.742(76.742%)(6.080m),35.000(35.000%)(1.607m),23.000(28.750%)(0.321m),9.692(24.230%)(0.000m),20.000(50.000%)(1.071m),200.259,3148.904
1617,1,16.7124,14.4967,0.187,419,1311,23,58,0.050,100,41.19,50000,486.50,1,1,20.424(25.530%)(0.045m),43.143(43.143%)(2.480m),69.000(69.000%)(5.250m),43.000(43.000%)(2.464m),25.000(31.250%)(0.536m),14.374(35.934%)(0.469m),18.000(45.000%)(0.857m),383.618,2855.690
1618,1,17.1358,14.5041,0.197,415,1302,1,66,0.050,100,41.22,50000,498.58,2,1,24.677(30.847%)(0.501m),44.000(44.000%)(2.571m),59.000(59.000%)(4.179m),35.000(35.000%)(1.607m),24.000(30.000%)(0.429m),17.434(43.584%)(0.796m),17.000(42.500%)(0.750m),204.664,2659.380
