episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1822,1,18.6129,15.8206,0.155,414,1299,0,88,0.050,100,45.99,50000,575.09,14,1,24.506(30.632%)(0.483m),43.000(43.000%)(2.464m),63.000(63.000%)(4.607m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.310(43.274%)(0.783m),20.000(50.000%)(1.071m),338.041,2736.518
1823,1,13.4788,15.6861,0.175,438,1353,105,75,0.050,100,46.02,50000,570.79,15,1,17.000(21.250%)(0.000m),36.000(36.000%)(1.714m),55.000(55.000%)(3.750m),38.421(38.421%)(1.974m),17.985(22.481%)(0.000m),12.000(30.000%)(0.214m),12.619(31.549%)(0.281m),445.311,2819.855
1824,1,1.2174,15.3177,0.165,202,609,15,37,0.050,75,46.00,50000,262.00,0,0,12.170(15.212%)(0.000m),24.428(24.428%)(0.474m),69.000(69.000%)(5.250m),46.000(46.000%)(2.786m),23.000(28.750%)(0.321m),9.740(24.350%)(0.000m),20.000(50.000%)(1.071m),434.747,3328.307
1825,1,0.5373,14.9691,0.197,316,974,2,64,0.050,90,45.97,50000,418.89,0,0,25.026(31.282%)(0.538m),45.000(45.000%)(2.679m),29.000(29.000%)(0.964m),17.000(17.000%)(0.000m),11.000(13.750%)(0.000m),17.685(44.214%)(0.823m),17.000(42.500%)(0.750m),306.357,2801.842
1826,1,18.8144,15.3427,0.173,415,1302,0,46,0.050,100,46.00,50000,550.28,1,1,25.069(31.336%)(0.543m),45.000(45.000%)(2.679m),63.000(63.000%)(4.607m),47.000(47.000%)(2.893m),27.000(33.750%)(0.750m),17.717(44.292%)(0.827m),19.000(47.500%)(0.964m),420.800,2829.331
1827,1,14.3955,15.6057,0.184,437,1349,15,32,0.050,100,46.03,50000,569.58,2,1,25.823(32.278%)(0.624m),42.000(42.000%)(2.357m),49.000(49.000%)(3.107m),38.000(38.000%)(1.929m),30.000(37.500%)(1.071m),18.297(45.743%)(0.889m),22.000(55.000%)(1.286m),341.438,2947.639
1828,1,0.6610,15.2375,0.185,144,423,0,11,0.050,60,46.01,50000,178.37,0,0,48.661(60.827%)(3.071m),90.977(90.977%)(7.605m),63.000(63.000%)(4.607m),25.000(25.000%)(0.536m),27.000(33.750%)(0.750m),35.188(87.970%)(2.699m),40.000(100.000%)(3.214m),0.000,3079.326
1829,1,13.0704,15.4947,0.192,422,1318,30,145,0.050,100,46.04,50000,563.29,1,1,18.000(22.500%)(0.000m),43.000(43.000%)(2.464m),56.000(56.000%)(3.857m),41.000(41.000%)(2.250m),24.733(30.916%)(0.507m),13.000(32.500%)(0.321m),17.474(43.684%)(0.801m),330.295,2725.604
1830,1,17.2735,15.5624,0.180,543,1578,106,72,0.050,100,46.07,50000,700.29,2,1,23.000(28.750%)(0.321m),44.000(44.000%)(2.571m),54.000(54.000%)(3.643m),32.506(32.506%)(1.340m),15.176(18.971%)(0.000m),17.000(42.500%)(0.750m),10.638(26.595%)(0.068m),434.343,4454.689
1831,1,18.8493,15.6025,0.179,413,1297,0,81,0.050,100,46.10,50000,562.55,3,1,24.316(30.395%)(0.462m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),24.000(30.000%)(0.429m),17.172(42.930%)(0.768m),17.000(42.500%)(0.750m),338.041,2745.791
