episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1808,1,17.9878,15.4339,0.159,417,1305,0,49,0.050,100,45.35,50000,519.13,5,1,24.954(31.192%)(0.531m),52.240(52.240%)(3.454m),84.000(84.000%)(6.857m),45.000(45.000%)(2.679m),27.000(33.750%)(0.750m),17.633(44.083%)(0.818m),21.000(52.500%)(1.179m),462.518,2896.816
1809,1,17.8687,15.3813,0.205,413,1297,0,68,0.050,100,45.38,50000,598.16,6,1,24.477(30.596%)(0.480m),51.289(51.289%)(3.352m),69.000(69.000%)(5.250m),51.000(51.000%)(3.321m),24.000(30.000%)(0.429m),17.288(43.221%)(0.781m),17.000(42.500%)(0.750m),540.279,2944.874
1810,1,20.2293,15.4399,0.171,542,1576,89,59,0.050,100,45.41,50000,680.31,7,1,22.830(28.537%)(0.303m),47.954(47.954%)(2.995m),52.000(52.000%)(3.429m),44.000(44.000%)(2.571m),26.000(32.500%)(0.643m),16.101(40.253%)(0.654m),18.000(45.000%)(0.857m),615.225,3656.064
1811,1,14.9291,15.4749,0.196,431,1339,55,97,0.050,100,45.44,50000,516.12,8,1,21.884(27.355%)(0.202m),46.123(46.123%)(2.799m),52.000(52.000%)(3.429m),41.000(41.000%)(2.250m),24.000(30.000%)(0.429m),15.414(38.535%)(0.580m),23.000(57.500%)(1.393m),338.741,2836.793
1812,1,17.5437,15.4334,0.172,424,1321,59,11,0.050,100,45.47,50000,495.96,9,1,21.255(26.568%)(0.134m),44.880(44.880%)(2.666m),71.000(71.000%)(5.464m),54.000(54.000%)(3.643m),29.000(36.250%)(0.964m),14.963(37.407%)(0.532m),22.000(55.000%)(1.286m),658.919,3010.739
1813,1,13.1936,15.3478,0.168,437,1350,82,69,0.050,100,45.50,50000,625.51,10,1,17.789(22.236%)(0.000m),37.938(37.938%)(1.922m),55.000(55.000%)(3.750m),41.000(41.000%)(2.250m),22.000(27.500%)(0.214m),12.485(31.213%)(0.266m),16.000(40.000%)(0.643m),335.469,3139.549
1814,1,14.8995,15.2446,0.159,432,1339,1,63,0.050,100,45.53,50000,485.17,11,1,24.881(31.101%)(0.523m),50.989(50.989%)(3.320m),59.000(59.000%)(4.179m),37.000(37.000%)(1.821m),28.000(35.000%)(0.857m),17.580(43.951%)(0.812m),20.000(50.000%)(1.071m),244.321,3023.282
1815,1,13.5351,15.1508,0.180,442,1360,50,99,0.050,100,45.56,50000,575.22,12,1,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),48.000(48.000%)(3.000m),36.017(36.017%)(1.716m),17.057(21.321%)(0.000m),17.000(42.500%)(0.750m),11.994(29.985%)(0.214m),172.895,3007.575
1816,1,18.2677,15.2043,0.177,413,1297,5,76,0.050,100,45.59,50000,597.31,13,1,24.635(30.794%)(0.497m),39.000(39.000%)(2.036m),54.000(54.000%)(3.643m),55.000(55.000%)(3.750m),24.000(30.000%)(0.429m),17.403(43.507%)(0.793m),17.000(42.500%)(0.750m),305.709,2870.261
1817,1,19.4077,15.1986,0.176,414,1299,0,0,0.050,100,45.62,50000,447.36,14,1,24.477(30.596%)(0.480m),51.289(51.289%)(3.352m),69.000(69.000%)(5.250m),51.000(51.000%)(3.321m),31.000(38.750%)(1.179m),17.288(43.221%)(0.781m),23.000(57.500%)(1.393m),540.279,2989.265
1818,1,16.4359,15.1773,0.183,457,1393,54,68,0.050,100,45.65,50000,562.69,15,1,23.000(28.750%)(0.321m),47.000(47.000%)(2.893m),71.000(71.000%)(5.464m),41.984(41.984%)(2.355m),19.929(24.912%)(0.000m),16.000(40.000%)(0.643m),14.013(35.032%)(0.430m),561.315,3782.064
1819,1,18.4982,15.2444,0.174,416,1303,0,51,0.050,100,45.68,50000,474.64,16,1,24.147(30.183%)(0.444m),42.000(42.000%)(2.357m),63.000(63.000%)(4.607m),43.000(43.000%)(2.464m),29.000(36.250%)(0.964m),17.050(42.624%)(0.755m),20.000(50.000%)(1.071m),387.959,2734.252
1820,1,17.0379,15.2146,0.166,414,1299,0,77,0.050,100,45.71,50000,510.44,17,1,24.577(30.722%)(0.490m),51.490(51.490%)(3.374m),76.000(76.000%)(6.000m),45.000(45.000%)(2.679m),24.000(30.000%)(0.429m),17.361(43.402%)(0.789m),17.000(42.500%)(0.750m),404.515,2885.728
1821,1,17.5445,15.2459,0.173,413,1297,0,84,0.050,100,45.74,50000,661.04,18,1,24.617(30.771%)(0.495m),43.000(43.000%)(2.464m),62.000(62.000%)(4.500m),45.000(45.000%)(2.679m),24.000(30.000%)(0.429m),17.390(43.474%)(0.792m),17.000(42.500%)(0.750m),382.098,2768.576
1822,1,20.8282,15.2782,0.154,412,1294,0,14,0.050,100,45.77,50000,660.10,19,1,24.617(30.771%)(0.495m),51.568(51.568%)(3.382m),75.000(75.000%)(5.893m),45.000(45.000%)(2.679m),30.000(37.500%)(1.071m),17.390(43.474%)(0.792m),23.000(57.500%)(1.393m),430.499,2884.541
1823,1,-0.6428,14.9792,0.175,183,546,16,4,0.050,70,45.75,50000,266.05,0,0,12.144(15.181%)(0.000m),24.036(24.036%)(0.432m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),31.000(38.750%)(1.179m),9.843(24.609%)(0.000m),27.000(67.500%)(1.821m),402.388,3430.691
1824,1,18.0232,15.0238,0.186,423,1319,15,37,0.050,100,45.78,50000,626.92,1,1,24.000(30.000%)(0.429m),37.000(37.000%)(1.821m),47.000(47.000%)(2.893m),50.289(50.289%)(3.245m),23.975(29.969%)(0.426m),21.000(52.500%)(1.179m),16.926(42.314%)(0.742m),223.737,2696.628
1825,1,20.3386,15.0789,0.183,412,1294,7,33,0.050,100,45.81,50000,641.60,2,1,32.000(40.000%)(1.286m),52.000(52.000%)(3.429m),75.000(75.000%)(5.893m),48.365(48.365%)(3.039m),23.010(28.763%)(0.323m),19.000(47.500%)(0.964m),16.228(40.569%)(0.667m),562.906,3206.348
1826,1,12.3843,14.9624,0.176,433,1340,14,55,0.050,100,45.84,50000,648.62,3,1,26.123(32.654%)(0.656m),54.573(54.573%)(3.704m),76.000(76.000%)(6.000m),68.000(68.000%)(5.143m),22.000(27.500%)(0.214m),18.480(46.200%)(0.909m),16.000(40.000%)(0.643m),740.549,3620.428
1827,1,16.9985,15.0088,0.159,428,1329,0,9,0.050,100,45.87,50000,614.53,4,1,25.467(31.833%)(0.586m),52.034(52.034%)(3.432m),60.000(60.000%)(4.286m),44.000(44.000%)(2.571m),30.000(37.500%)(1.071m),18.005(45.011%)(0.858m),22.000(55.000%)(1.286m),394.186,3323.622
1828,1,19.1857,15.0236,0.191,414,1299,0,37,0.050,100,45.90,50000,600.76,5,1,24.617(30.771%)(0.495m),51.568(51.568%)(3.382m),75.000(75.000%)(5.893m),45.000(45.000%)(2.679m),28.000(35.000%)(0.857m),17.390(43.474%)(0.792m),20.000(50.000%)(1.071m),430.499,2884.554
1829,1,19.6677,15.4192,0.166,413,1295,14,34,0.050,100,45.93,50000,535.71,6,1,34.000(42.500%)(1.500m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),47.883(47.883%)(2.987m),23.150(28.938%)(0.338m),19.000(47.500%)(0.964m),16.329(40.822%)(0.678m),561.933,3208.281
1830,1,18.6519,15.3726,0.172,413,1297,0,55,0.050,100,45.96,50000,612.34,7,1,24.477(30.596%)(0.480m),43.000(43.000%)(2.464m),62.000(62.000%)(4.500m),51.000(51.000%)(3.321m),24.000(30.000%)(0.429m),17.288(43.221%)(0.781m),17.000(42.500%)(0.750m),392.554,2826.480
1831,1,18.2900,15.3917,0.178,413,1297,0,63,0.050,100,45.99,50000,620.60,8,1,24.617(30.771%)(0.495m),51.568(51.568%)(3.382m),75.000(75.000%)(5.893m),45.000(45.000%)(2.679m),24.000(30.000%)(0.429m),17.390(43.474%)(0.792m),17.000(42.500%)(0.750m),430.499,2884.541
1832,1,17.1360,15.3555,0.170,418,1308,30,0,0.050,100,46.02,50000,594.52,9,1,21.043(26.303%)(0.112m),44.366(44.366%)(2.611m),77.000(77.000%)(6.107m),51.000(51.000%)(3.321m),31.000(38.750%)(1.179m),14.817(37.043%)(0.516m),22.000(55.000%)(1.286m),572.528,2935.531
1833,1,17.3661,15.2745,0.168,413,1297,58,46,0.050,100,46.04,50000,593.49,10,1,28.000(35.000%)(0.857m),56.000(56.000%)(3.857m),84.000(84.000%)(6.857m),48.147(48.147%)(3.016m),22.901(28.626%)(0.311m),20.000(50.000%)(1.071m),16.148(40.371%)(0.659m),543.008,3006.264
1834,1,12.4772,15.2025,0.160,466,1416,100,126,0.050,100,46.07,50000,591.88,11,1,13.875(17.343%)(0.000m),30.073(30.073%)(1.079m),45.000(45.000%)(2.679m),38.000(38.000%)(1.929m),25.000(31.250%)(0.536m),9.715(24.287%)(0.000m),18.000(45.000%)(0.857m),146.835,2930.902
1835,1,20.6369,15.2892,0.180,412,1294,0,22,0.050,100,46.10,50000,646.34,12,1,24.208(30.259%)(0.451m),49.790(49.790%)(3.192m),70.000(70.000%)(5.357m),42.000(42.000%)(2.357m),27.000(33.750%)(0.750m),17.094(42.734%)(0.760m),23.000(57.500%)(1.393m),336.723,2826.810
